Issuer,Cedent,Risks / Perils covered,Size,Date
Northshore Re II Ltd. (Series 2021-1),AXIS Capital Holdings Ltd. subsidiaries,"U.S. named storms (inc. Puerto Rico & Virgin Islands), U.S. & Canada earthquake, European windstorm",$100m,['Dec 2020']
Phoenician Re Ltd. (Series 2020-1),Alphabet Inc.,California earthquake,$237.5m,['Dec 2020']
Matterhorn Re Ltd. (Series 2020-5),Swiss Re,U.S. named storm,$150m,['Dec 2020']
Power Protective Re Ltd. (Series 2020-1),Los Angeles Department of Water & Power,California wildfire,$50m,['Nov 2020']
2001 CAT Re Ltd. (Series 2020-1),Allied World Assurance Company,"U.S named storm, U.S. & Canada earthquake, U.S. severe thunderstorm, European windstorm",$210m,['Nov 2020']
Four Lakes Re Ltd. (Series 2020-1),American Family Mutual Insurance Co.,"U.S named storm, earthquake, severe thunderstorm, winter storm, volcanic eruption, meteorite impact",$175m,['Nov 2020']
Residential Reinsurance 2020 Limited (Series 2020-2),USAA,"U.S. tropical cyclones, earthquakes (plus fire following), severe thunderstorm, winter storm, wildfire, volcanic eruption, meteorite impact, other perils (all including auto & renter policy flood losses)",$400m,['Nov 2020']
Bellemeade Re 2020-3 Ltd.,Arch Capital Group Ltd.,Mortgage insurance risks,$418m,['Nov 2020']
Herbie Re Ltd. (Series 2020-2),Fidelis Insurance,"U.S. named storm, U.S. earthquake",$275m,['Oct 2020']
Oaktown Re V Ltd.,National Mortgage Insurance Corporation,Mortgage insurance risks,$242m,['Oct 2020']
Cerulean Re SAC Ltd. (Series 2020-B),Unknown,Unknown property catastrophe risks,$12.6m,['Oct 2020']
La Vie Re Limited (Series 2020-1),Minnesota Life Insurance Company,Extreme mortality,$100m,['Oct 2020']
Triangle Re 2020-1 Ltd.,Genworth Mortgage Insurance,Mortgage insurance risks,$350m,['Oct 2020']
Eagle Re 2020-2 Ltd.,Radian Guaranty,Mortgage insurance risks,$390.3m,['Oct 2020']
Eclipse Re Ltd. (Series 2020-06A),Unknown,Unknown property catastrophe risks,$20m,['Oct 2020']
Ursa Re II Ltd. (Series 2020-1),California Earthquake Authority,California earthquake,$775m,['Oct 2020']
Artex SAC Limited – Tenby Notes,Unknown,Unknown property catastrophe risks,$30m,['Oct 2020']
Radnor Re 2020-2 Ltd.,Essent Guaranty,Mortgage insurance risks,$399.2m,['Oct 2020']
Isosceles Insurance Ltd. (Series 2020-C1),Unknown,Unknown property catastrophe risks,$25m,['Sep 2020']
ILN SAC Ltd. (US-W-OCC-30B-40B),Unknown,U.S. named storms,$10m,['Sep 2020']
Bellemeade Re 2020-2 Ltd.,Arch Capital Group Ltd.,Mortgage insurance risks,$423m,['Sep 2020']
Oaktown Re IV Ltd.,National Mortgage Insurance Corporation,Mortgage insurance risks,$322m,['Jul 2020']
Eclipse Re Ltd. (Series 2020-04A),Unknown,Unknown property catastrophe risks,$40m,['Jul 2020']
Eclipse Re Ltd. (Series 2020-03A),Unknown,Unknown property catastrophe risks,$16.59m,['Jul 2020']
Hypatia Ltd. (Series 2020-1),Convex Re,"U.S. named storm, U.S. & Canada earthquake",$300m,['Jul 2020']
Azzurro Re II DAC (Series 2020-1),UnipolSai Assicurazioni S.p.A.,European earthquake (covers portfolio in Italy),€100m,['Jul 2020']
Randolph Re (Series 2020-1),Unknown,Unknown property catastrophe risks,$50.25m,['Jul 2020']
SD Re Ltd. (Series 2020-1),Sempra Energy,California wildfire,$90m,['Jul 2020']
Matterhorn Re Ltd. (Series 2020-4),Swiss Re,U.S. named storm,$240m,['Jul 2020']
Bellemeade Re 2020-1 Ltd.,Arch Capital Group Ltd.,Mortgage insurance risks,$450m,['Jun 2020']
Windmill II Re DAC (2020),Achmea Reinsurance Company N.V.,European windstorm,€100m ($113m),['Jun 2020']
Blue Halo Re Ltd. (Series 2020-1),Allianz Risk Transfer,U.S. named storms,$175m,['Jun 2020']
Isosceles Insurance Ltd. (Series 2020-A1),Unknown,Unknown property catastrophe risks,$16.5m,['Jun 2020']
Herbie Re Ltd. (Series 2020-1),Fidelis Insurance,"U.S. named storm, U.S. earthquake",$125m,['Jun 2020']
Casablanca Re Pte. Ltd. (Series 2020-1),Avatar Property and Casualty Insurance Company,Florida named storm,$65m,['Jun 2020']
Alamo Re II Pte. Ltd. (Series 2020-1),Texas Windstorm Insurance Association (TWIA),Texas named storms and severe thunderstorms,$400m,['Jun 2020']
Sanders Re II Ltd. (Series 2020-2),Allstate subsidiaries Castle Key Insurance and Castle Key Indemnity,"Florida named storm, earthquake, severe thunderstorm, volcanic eruption, meteorite impact, wildfire",$200m,['May 2020']
Residential Reinsurance 2020 Limited (Series 2020-1),USAA,"U.S. tropical cyclones, earthquakes (plus fire following), severe thunderstorm, winter storm, wildfire, volcanic eruption, meteorite impact, other perils (all including auto & renter policy flood losses)",$100m,['May 2020']
Sutter Re Ltd. (Series 2020-1 & 2020-2),California Earthquake Authority,California earthquake,$700m,['May 2020']
Everglades Re II Ltd. (Series 2020-2),Citizens Property Insurance,Florida named storms,$110m,['May 2020']
MetroCat Re Ltd. (Series 2020-1),First Mutual Transportation Assurance Co. (NYC MTA),New York storm surge (named storm induced) and earthquake,$100m,['May 2020']
Catahoula Re Pte. Ltd. (Series 2020-1),Louisiana Citizens Property Insurance Corporation,Louisiana named storm & severe thunderstorm,$60m,['May 2020']
Matterhorn Re Ltd. (Series 2020-3),Swiss Re,U.S. named storm,$215m,['May 2020']
Atlas Capital Reinsurance 2020 DAC (Series 2020-1),SCOR SE,"U.S. named storm, U.S. & Canada earthquake",$200m,['Apr 2020']
Merna Re II Ltd. (Series 2020-1),State Farm,U.S. earthquake,$250m,['Apr 2020']
Eclipse Re Ltd. (Series 2020-02A),Unknown,Unknown property catastrophe risks,$20m,['Apr 2020']
Operational Re III Ltd.,Zurich Insurance Co. Ltd.,Operational risks,$461.22m,['Apr 2020']
Akibare Re Pte. Ltd. (Series 2020-1),Mitsui Sumitomo Insurance Co. Ltd.,"Japan typhoon, Japan flood",$100m,['Mar 2020']
Integrity Re II Pte. Ltd. (Series 2020-1),"American Integrity Insurance Company of Florida, Inc. via Hannover Rück SE",Florida named storms,$150m,['Mar 2020']
Sanders Re II Ltd. (Series 2020-1),Allstate,"U.S. (ex Florida) named storm, earthquake, severe weather, fire, other perils",$250m,['Mar 2020']
Asagao II – White Rock Insurance (SAC) Ltd.,Unknown,Japan earthquake,$18.3m,['Mar 2020']
IBRD / FONDEN 2020,FONDEN / AGROASEMEX S.A.,"Mexico earthquakes, Mexico named storms",$485m,['Mar 2020']
